"","subj","start","stop","arrest.time","fin","age","race","wexp","mar","paro","prio","employed"
"1",1,0,1,0,0,27,1,0,0,1,3,0
"2",1,1,2,0,0,27,1,0,0,1,3,0
"3",1,2,3,0,0,27,1,0,0,1,3,0
"4",1,3,4,0,0,27,1,0,0,1,3,0
"5",1,4,5,0,0,27,1,0,0,1,3,0
"6",1,5,6,0,0,27,1,0,0,1,3,0
"7",1,6,7,0,0,27,1,0,0,1,3,0
"8",1,7,8,0,0,27,1,0,0,1,3,0
"9",1,8,9,0,0,27,1,0,0,1,3,0
"10",1,9,10,0,0,27,1,0,0,1,3,0
"11",1,10,11,0,0,27,1,0,0,1,3,0
"12",1,11,12,0,0,27,1,0,0,1,3,0
"13",1,12,13,0,0,27,1,0,0,1,3,0
"14",1,13,14,0,0,27,1,0,0,1,3,0
"15",1,14,15,0,0,27,1,0,0,1,3,0
"16",1,15,16,0,0,27,1,0,0,1,3,0
"17",1,16,17,0,0,27,1,0,0,1,3,0
"18",1,17,18,0,0,27,1,0,0,1,3,0
"19",1,18,19,0,0,27,1,0,0,1,3,0
"20",1,19,20,1,0,27,1,0,0,1,3,0
"21",2,0,1,0,0,18,1,0,0,1,8,0
"22",2,1,2,0,0,18,1,0,0,1,8,0
"23",2,2,3,0,0,18,1,0,0,1,8,0
"24",2,3,4,0,0,18,1,0,0,1,8,0
"25",2,4,5,0,0,18,1,0,0,1,8,0
"26",2,5,6,0,0,18,1,0,0,1,8,0
"27",2,6,7,0,0,18,1,0,0,1,8,0
"28",2,7,8,0,0,18,1,0,0,1,8,0
"29",2,8,9,0,0,18,1,0,0,1,8,0
"30",2,9,10,0,0,18,1,0,0,1,8,1
"31",2,10,11,0,0,18,1,0,0,1,8,1
"32",2,11,12,0,0,18,1,0,0,1,8,1
"33",2,12,13,0,0,18,1,0,0,1,8,1
"34",2,13,14,0,0,18,1,0,0,1,8,1
"35",2,14,15,0,0,18,1,0,0,1,8,0
"36",2,15,16,0,0,18,1,0,0,1,8,0
"37",2,16,17,1,0,18,1,0,0,1,8,0
"38",3,0,1,0,0,19,0,1,0,1,13,0
"39",3,1,2,0,0,19,0,1,0,1,13,0
"40",3,2,3,0,0,19,0,1,0,1,13,0
"41",3,3,4,0,0,19,0,1,0,1,13,0
"42",3,4,5,0,0,19,0,1,0,1,13,0
"43",3,5,6,0,0,19,0,1,0,1,13,0
"44",3,6,7,0,0,19,0,1,0,1,13,0
"45",3,7,8,0,0,19,0,1,0,1,13,0
"46",3,8,9,0,0,19,0,1,0,1,13,0
"47",3,9,10,0,0,19,0,1,0,1,13,0
"48",3,10,11,0,0,19,0,1,0,1,13,0
"49",3,11,12,0,0,19,0,1,0,1,13,0
"50",3,12,13,0,0,19,0,1,0,1,13,0
"51",3,13,14,0,0,19,0,1,0,1,13,0
"52",3,14,15,0,0,19,0,1,0,1,13,0
"53",3,15,16,0,0,19,0,1,0,1,13,0
"54",3,16,17,0,0,19,0,1,0,1,13,1
"55",3,17,18,0,0,19,0,1,0,1,13,0
"56",3,18,19,0,0,19,0,1,0,1,13,0
"57",3,19,20,0,0,19,0,1,0,1,13,0
"58",3,20,21,0,0,19,0,1,0,1,13,0
"59",3,21,22,0,0,19,0,1,0,1,13,0
