"","subj","start","stop","arrest.time","fin","age","race","wexp","mar","paro","prio","employed"
"1",1,1,2,0,0,27,1,0,0,1,3,0
"2",1,2,3,0,0,27,1,0,0,1,3,0
"3",1,3,4,0,0,27,1,0,0,1,3,0
"4",1,4,5,0,0,27,1,0,0,1,3,0
"5",1,5,6,0,0,27,1,0,0,1,3,0
"6",1,6,7,0,0,27,1,0,0,1,3,0
"7",1,7,8,0,0,27,1,0,0,1,3,0
"8",1,8,9,0,0,27,1,0,0,1,3,0
"9",1,9,10,0,0,27,1,0,0,1,3,0
"10",1,10,11,0,0,27,1,0,0,1,3,0
"11",1,11,12,0,0,27,1,0,0,1,3,0
"12",1,12,13,0,0,27,1,0,0,1,3,0
"13",1,13,14,0,0,27,1,0,0,1,3,0
"14",1,14,15,0,0,27,1,0,0,1,3,0
"15",1,15,16,0,0,27,1,0,0,1,3,0
"16",1,16,17,0,0,27,1,0,0,1,3,0
"17",1,17,18,0,0,27,1,0,0,1,3,0
"18",1,18,19,0,0,27,1,0,0,1,3,0
"19",1,19,20,1,0,27,1,0,0,1,3,0
"20",2,1,2,0,0,18,1,0,0,1,8,0
"21",2,2,3,0,0,18,1,0,0,1,8,0
"22",2,3,4,0,0,18,1,0,0,1,8,0
"23",2,4,5,0,0,18,1,0,0,1,8,0
"24",2,5,6,0,0,18,1,0,0,1,8,0
"25",2,6,7,0,0,18,1,0,0,1,8,0
"26",2,7,8,0,0,18,1,0,0,1,8,0
"27",2,8,9,0,0,18,1,0,0,1,8,0
"28",2,9,10,0,0,18,1,0,0,1,8,0
"29",2,10,11,0,0,18,1,0,0,1,8,1
"30",2,11,12,0,0,18,1,0,0,1,8,1
"31",2,12,13,0,0,18,1,0,0,1,8,1
"32",2,13,14,0,0,18,1,0,0,1,8,1
"33",2,14,15,0,0,18,1,0,0,1,8,1
"34",2,15,16,0,0,18,1,0,0,1,8,0
"35",2,16,17,1,0,18,1,0,0,1,8,0
"36",3,1,2,0,0,19,0,1,0,1,13,0
"37",3,2,3,0,0,19,0,1,0,1,13,0
"38",3,3,4,0,0,19,0,1,0,1,13,0
"39",3,4,5,0,0,19,0,1,0,1,13,0
"40",3,5,6,0,0,19,0,1,0,1,13,0
"41",3,6,7,0,0,19,0,1,0,1,13,0
"42",3,7,8,0,0,19,0,1,0,1,13,0
"43",3,8,9,0,0,19,0,1,0,1,13,0
"44",3,9,10,0,0,19,0,1,0,1,13,0
"45",3,10,11,0,0,19,0,1,0,1,13,0
"46",3,11,12,0,0,19,0,1,0,1,13,0
"47",3,12,13,0,0,19,0,1,0,1,13,0
"48",3,13,14,0,0,19,0,1,0,1,13,0
"49",3,14,15,0,0,19,0,1,0,1,13,0
"50",3,15,16,0,0,19,0,1,0,1,13,0
"51",3,16,17,0,0,19,0,1,0,1,13,0
"52",3,17,18,0,0,19,0,1,0,1,13,1
"53",3,18,19,0,0,19,0,1,0,1,13,0
"54",3,19,20,0,0,19,0,1,0,1,13,0
"55",3,20,21,0,0,19,0,1,0,1,13,0
"56",3,21,22,0,0,19,0,1,0,1,13,0
"57",3,22,23,0,0,19,0,1,0,1,13,0
"58",3,23,24,0,0,19,0,1,0,1,13,0
"59",3,24,25,1,0,19,0,1,0,1,13,0
"60",4,1,2,0,1,23,1,1,1,1,1,0
"61",4,2,3,0,1,23,1,1,1,1,1,0
"62",4,3,4,0,1,23,1,1,1,1,1,0
"63",4,4,5,0,1,23,1,1,1,1,1,0
"64",4,5,6,0,1,23,1,1,1,1,1,1
"65",4,6,7,0,1,23,1,1,1,1,1,1
"66",4,7,8,0,1,23,1,1,1,1,1,1
"67",4,8,9,0,1,23,1,1,1,1,1,1
"68",4,9,10,0,1,23,1,1,1,1,1,1
"69",4,10,11,0,1,23,1,1,1,1,1,1
"70",4,11,12,0,1,23,1,1,1,1,1,1
"71",4,12,13,0,1,23,1,1,1,1,1,1
"72",4,13,14,0,1,23,1,1,1,1,1,1
"73",4,14,15,0,1,23,1,1,1,1,1,1
"74",4,15,16,0,1,23,1,1,1,1,1,1
"75",4,16,17,0,1,23,1,1,1,1,1,1
"76",4,17,18,0,1,23,1,1,1,1,1,1
"77",4,18,19,0,1,23,1,1,1,1,1,1
"78",4,19,20,0,1,23,1,1,1,1,1,1
"79",4,20,21,0,1,23,1,1,1,1,1,1
"80",4,21,22,0,1,23,1,1,1,1,1,1
"81",4,22,23,0,1,23,1,1,1,1,1,0
"82",4,23,24,0,1,23,1,1,1,1,1,0
"83",4,24,25,0,1,23,1,1,1,1,1,0
"84",4,25,26,0,1,23,1,1,1,1,1,0
"85",4,26,27,0,1,23,1,1,1,1,1,0
"86",4,27,28,0,1,23,1,1,1,1,1,0
"87",4,28,29,0,1,23,1,1,1,1,1,0
"88",4,29,30,0,1,23,1,1,1,1,1,0
"89",4,30,31,0,1,23,1,1,1,1,1,0
"90",4,31,32,0,1,23,1,1,1,1,1,0
"91",4,32,33,0,1,23,1,1,1,1,1,1
"92",4,33,34,0,1,23,1,1,1,1,1,1
"93",4,34,35,0,1,23,1,1,1,1,1,1
"94",4,35,36,0,1,23,1,1,1,1,1,1
"95",4,36,37,0,1,23,1,1,1,1,1,1
"96",4,37,38,0,1,23,1,1,1,1,1,1
"97",4,38,39,0,1,23,1,1,1,1,1,1
"98",4,39,40,0,1,23,1,1,1,1,1,1
"99",4,40,41,0,1,23,1,1,1,1,1,1
"100",4,41,42,0,1,23,1,1,1,1,1,1
"101",4,42,43,0,1,23,1,1,1,1,1,1
"102",4,43,44,0,1,23,1,1,1,1,1,1
"103",4,44,45,0,1,23,1,1,1,1,1,1
"104",4,45,46,0,1,23,1,1,1,1,1,1
"105",4,46,47,0,1,23,1,1,1,1,1,1
"106",4,47,48,0,1,23,1,1,1,1,1,1
"107",4,48,49,0,1,23,1,1,1,1,1,1
"108",4,49,50,0,1,23,1,1,1,1,1,1
"109",4,50,51,0,1,23,1,1,1,1,1,1
"110",4,51,52,0,1,23,1,1,1,1,1,1
"111",5,1,2,0,0,19,0,1,0,1,3,0
"112",5,2,3,0,0,19,0,1,0,1,3,0
"113",5,3,4,0,0,19,0,1,0,1,3,0
"114",5,4,5,0,0,19,0,1,0,1,3,0
"115",5,5,6,0,0,19,0,1,0,1,3,0
"116",5,6,7,0,0,19,0,1,0,1,3,0
"117",5,7,8,0,0,19,0,1,0,1,3,0
"118",5,8,9,0,0,19,0,1,0,1,3,0
"119",5,9,10,0,0,19,0,1,0,1,3,0
